Row No;Standort;ID;Kurzbeschreibung;Rechtswert;Hochwert;m ü. NHN;WGS84 Y;WGS84 X
1;Hanau;A_Ref;Forstamtgelände;3500109;5555104;124;50.132127;9.000461
2;Hanau;AA;Erlenbruch;3499669;5554014;109;50.122327;8.994308
3;Hanau;AB;Bombentrichter;3499808;5554765;119;50.129079;8.996252
4;Hanau;AC;Doppelbiergraben;3500347;5554664;130;50.128171;9.00379
5;Kühkopf;B_Ref;Forstamtgelände;3461182;5519991;87;49.815182;8.459578
6;Kühkopf;BA;Röhricht bei Egbert;3456735;5522608;83;49.838405;8.3975
7;Kühkopf;BB;weichholzaue;3461126;5519932;89;49.814648;8.458806
8;Kühkopf;BC;hartholzaue;3461011;5520040;94;49.815612;8.457197
9;Kühkopf;BD;Nähe Teich hinter Forstamtgelände;3461156;5520115;85;49.816296;8.459205
10;Waghäusel;C_Ref;Lichtung;3465449;5459832;90;49.274561;8.524147
11;Waghäusel;CA;Mahler;3465456;5459834;94;49.274579;8.524243
12;Waghäusel;CB;Röhricht ;3465441;5459722;89;49.273572;8.524047
13;Hördt;D_Ref;Nähe FritzSchardt;3453022;5443702;101;49.128704;8.35527
14;Hördt;DA;Wallhecke nähe Baggersee;3452892;5443994;103;49.13132;8.353455
15;Hördt;DB;Weidenhain;3453218;5445395;95;49.143941;8.357759
16;Hördt;DC;hartholzaue;3453718;5445395;103;49.143979;8.364612
17;Bienwald;E_Ref;Lichtung;3441190;5434943;163;49.048933;8.19444
18;Bienwald;EA;Schlangenlache;3438892;5433839;133;49.038783;8.163173
19;Bienwald;EB;Salzleck;3441179;5434970;162;49.049174;8.194286
20;Bienwald;EC;Kallbachsee;3441610;5434699;172;49.046779;8.20022
21;Ammersee;F_rRef;Oliver Grüner Garten;4433984;5326705;550;48.074994;11.112648
22;Ammersee;FA;schondorf;4432672;5324559;550;48.055559;11.095382
23;Ammersee;FB;eching;4435179;5327171;529;48.079308;11.128612
24;Ammersee;FC;Inning;4436528;5324855;596;48.058617;11.147059
25;Osterseen;G_Ref;Bugl Garten;4449475;5293643;600;47.779082;11.324401
26;Osterseen;GA;Eberl/Feuchtwiese;4450182;5292854;609;47.772041;11.333925
27;Osterseen;GB;Senke bei Helmut Bugl;4449418;5293632;592;47.778978;11.323642
28;Osterseen;GC;Blaue Gumpe;4448089;5293311;598;47.775985;11.305948
29;Donau;H_Ref;Flusssmeisterei;4481477;5408977;350;48.818007;11.746324
30;Donau;HA;Weidenhain;4482843;5409664;352;48.824224;11.764896
31;Donau;HB;nähe Goldau (altwasser);4481581;5408149;352;48.810564;11.747777
32;Donau;HC;Irnsing;4481620;5410574;350;48.832372;11.748199
33;Leipzig;I_Ref;Freistehender Baumstreifen;4517734;5691780;102;51.360513;12.253082
34;Leipzig;IA;Schilf;4517611;5691780;102;51.360517;12.251316
35;Leipzig;IB;Sumpfwald;4517996;5692093;102;51.363318;12.256859
36;Leipzig;IC;Aue;4517823;5693043;109;51.371863;12.254422
37;Wörlitz;J_Ref;freistehende Esche;4530573;5748097;74;51.866133;12.4423
38;Wörlitz;JA;Hartholzaue;4530750;5747353;66;51.859436;12.444804
39;Wörlitz;JB;Aue;4530623;5748158;75;51.866678;12.443032
40;Wörlitz;JC;Wiese ;4530134;5748569;60;51.870398;12.435968
