"V1";"V2"
"1";50.0643;8.993
"2";50.0643;8.993
"3";50.0643;8.993
"4";50.0643;8.993
"5";50.0259;8.5213
"6";49.9656;8.2139
"7";50.0259;8.5213
"8";50.0259;8.5213
"9";50.0259;8.5213
"10";49.2445;8.5374
"11";49.2445;8.5374
"12";49.2445;8.5374
"13";48.9726;8.3301
"14";48.9726;8.3301
"15";48.9726;8.3301
"16";48.9726;8.3301
"17";48.9726;8.3301
"18";48.9726;8.3301
"19";48.9726;8.3301
"20";48.9726;8.3301
"21";48.207;11.2035
"22";48.0772;10.9144
"23";48.207;11.2035
"24";48.207;11.2035
"25";47.8774;11.3642
"26";47.8774;11.3642
"27";47.8774;11.3642
"28";47.8774;11.3642
"29";48.702;11.8493
"30";48.702;11.8493
"31";48.702;11.8493
"32";48.702;11.8493
"33";51.4348;12.2396
"34";51.4348;12.2396
"35";51.4348;12.2396
"36";51.4348;12.2396
"37";51.8892;12.6445
"38";51.8892;12.6445
"39";51.8892;12.6445
"40";51.8892;12.6445
