"V1";"V2"
"1";49.7703;9.9577
"2";49.7703;9.9577
"3";49.7703;9.9577
"4";49.7703;9.9577
"5";48.8282;9.2
"6";48.8282;9.2
"7";48.8282;9.2
"8";48.8282;9.2
"9";48.8282;9.2
"10";48.8282;9.2
"11";48.8282;9.2
"12";48.8282;9.2
"13";48.8282;9.2
"14";48.8282;9.2
"15";48.8282;9.2
"16";48.8282;9.2
"17";48.8282;9.2
"18";48.8282;9.2
"19";48.8282;9.2
"20";48.8282;9.2
"21";47.8009;11.0108
"22";47.8009;11.0108
"23";47.8009;11.0108
"24";47.8009;11.0108
"25";47.8009;11.0108
"26";47.8009;11.0108
"27";47.8009;11.0108
"28";47.8009;11.0108
"29";48.4025;11.6946
"30";48.4025;11.6946
"31";48.4025;11.6946
"32";48.4025;11.6946
"33";51.3151;12.4462
"34";51.3151;12.4462
"35";51.3151;12.4462
"36";51.3151;12.4462
"37";51.3151;12.4462
"38";51.3151;12.4462
"39";51.3151;12.4462
"40";51.3151;12.4462
